,wood,apple,corn,tomato,corn_seed,tomato_seed,black_beanie,fishing_rod,seewing_needle,white_thread,stylised_beanie,anchovy,angelfish,bass,catfish,crab,goldfish,clownfish,pufferfish,rainbow_trout,surgeonfish,can,rock,worm,salmon,baby_salmon,axe,hoe,water,white_thread_needle,flowers,strawberry,peach,orange,pear,grapes,blueberry,pumkin,pumkin_seed
wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corn_seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato_seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black_beanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stylised_beanie,,,,,,,,,
fishing_rod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seewing_needle,,,,,,,,,,white_thread_needle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white_thread,,,,,,,,,white_thread_needle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stylised_beanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angelfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goldfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clownfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pufferfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainbow_trout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surgeonfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worm,,,,,,,,,,,,,,,,,,,,,,,,,,salmon,,,,,,,,,,,,,
salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby_salmon,,,,,,,,,,,,,,,,,,,,,,,,salmon,,,,,,,,,,,,,,,
axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white_thread_needle,,,,,,,stylised_beanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pumkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pumkin_seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
